"UNIT";"LANDUSE";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"KM2";"TOTAL";"UKE2";"A";"2008";8325,2;NA;NA
"KM2";"TOTAL";"UKE2";"A";"2007";8325,2;NA;NA
"KM2";"TOTAL";"UKE2";"A";"2006";8325,2;NA;NA
"KM2";"TOTAL";"UKE2";"A";"2005";8325,2;NA;NA
"KM2";"TOTAL";"UKE2";"A";"2004";8325,2;NA;NA
"KM2";"TOTAL";"UKE2";"A";"2003";8325,2;NA;NA
"KM2";"TOTAL";"UKE2";"A";"2002";8325,2;NA;NA
"KM2";"TOTAL";"UKE2";"A";"2001";8325,2;NA;NA
"KM2";"TOTAL";"UKE2";"A";"2000";8325,2;NA;NA
"KM2";"TOTAL";"UKE2";"A";"1999";8325,2;NA;NA
"KM2";"TOTAL";"UKE2";"A";"1998";8325,2;NA;NA
"KM2";"TOTAL";"UKE2";"A";"1997";8325,2;NA;NA
"KM2";"TOTAL";"UKE2";"A";"1996";8325,2;NA;NA
"KM2";"TOTAL";"UKE2";"A";"1995";8325,2;NA;NA
"KM2";"TOTAL";"UKE2";"A";"1994";8325,2;NA;NA
"KM2";"TOTAL";"UKE2";"A";"1993";8325,2;NA;NA
"KM2";"TOTAL";"UKE2";"A";"1992";8325,2;NA;NA
"KM2";"TOTAL";"UKE2";"A";"1991";8325,2;NA;NA
"KM2";"TOTAL";"UKE2";"A";"1990";8325,2;NA;NA
