"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"UKE2";"A";"1999";7700;NA;NA
"UKE2";"A";"1998";7900;NA;NA
"UKE2";"A";"1997";8117;NA;NA
"UKE2";"A";"1996";8204;NA;NA
"UKE2";"A";"1995";8237;NA;NA
"UKE2";"A";"1994";8200;NA;NA
"UKE2";"A";"1993";8200;NA;NA
"UKE2";"A";"1992";8500;NA;NA
"UKE2";"A";"1991";8500;NA;NA
"UKE2";"A";"1990";8700;NA;NA
