"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"ITH3";"A";"2010";275,8;NA;NA
"ITH3";"A";"2009";275,2;NA;NA
"ITH3";"A";"2008";273,5;NA;NA
"ITH3";"A";"2007";270,7;NA;NA
"ITH3";"A";"2006";268,4;NA;NA
"ITH3";"A";"2005";266,7;NA;NA
"ITH3";"A";"2004";264,3;NA;NA
"ITH3";"A";"2003";261,3;NA;NA
"ITH3";"A";"2002";258,7;NA;NA
"ITH3";"A";"2001";257,3;NA;NA
"ITH3";"A";"2000";256;NA;NA
"ITH3";"A";"1999";254,8;NA;NA
"ITH3";"A";"1998";253,6;NA;NA
"ITH3";"A";"1997";252,5;NA;NA
"ITH3";"A";"1996";251,7;NA;NA
"ITH3";"A";"1995";251;NA;NA
"ITH3";"A";"1994";250,8;NA;NA
"ITH3";"A";"1993";250,4;NA;NA
"ITH3";"A";"1992";250;NA;NA
"ITH3";"A";"1991";238,3;NA;NA
"ITH3";"A";"1990";237,9;NA;NA
