"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"Y65";"T";"MT";"A";"1991";NA;"na";NA
"Y65";"T";"MT";"A";"1990";NA;"na";NA
"Y65";"T";"NL12";"A";"2014";20,1;NA;NA
"Y65";"T";"NL12";"A";"2013";19,7;NA;NA
"Y65";"T";"NL12";"A";"2012";19,6;NA;NA
"Y65";"T";"NL12";"A";"2011";19,8;NA;NA
"Y65";"T";"NL12";"A";"2010";19,7;NA;NA
"Y65";"T";"NL12";"A";"2009";19,5;NA;NA
"Y65";"T";"NL12";"A";"2008";19,3;NA;NA
"Y65";"T";"NL12";"A";"2007";19,2;NA;NA
"Y65";"T";"NL12";"A";"2006";18,3;NA;NA
"Y65";"T";"NL12";"A";"2005";18,8;NA;NA
"Y65";"T";"NL12";"A";"2004";18,4;NA;NA
"Y65";"T";"NL12";"A";"2003";18;NA;NA
"Y65";"T";"NL12";"A";"2002";17,8;NA;NA
"Y65";"T";"NL12";"A";"2001";17,6;NA;NA
"Y65";"T";"NL12";"A";"2000";NA;"na";NA
"Y65";"T";"NL12";"A";"1999";NA;"na";NA
"Y65";"T";"NL12";"A";"1998";NA;"na";NA
"Y65";"T";"NL12";"A";"1997";NA;"na";NA
"Y65";"T";"NL12";"A";"1996";NA;"na";NA
"Y65";"T";"NL12";"A";"1995";NA;"na";NA
"Y65";"T";"NL12";"A";"1994";NA;"na";NA
"Y65";"T";"NL12";"A";"1993";NA;"na";NA
"Y65";"T";"NL12";"A";"1992";NA;"na";NA
"Y65";"T";"NL12";"A";"1991";NA;"na";NA
"Y65";"T";"NL12";"A";"1990";NA;"na";NA
"Y65";"T";"NL13";"A";"2014";20,4;NA;NA
"Y65";"T";"NL13";"A";"2013";19,9;NA;NA
"Y65";"T";"NL13";"A";"2012";19,6;NA;NA
"Y65";"T";"NL13";"A";"2011";19,7;NA;NA
"Y65";"T";"NL13";"A";"2010";19,6;NA;NA
"Y65";"T";"NL13";"A";"2009";19,7;NA;NA
"Y65";"T";"NL13";"A";"2008";19,3;NA;NA
"Y65";"T";"NL13";"A";"2007";19,2;NA;NA
"Y65";"T";"NL13";"A";"2006";19;NA;NA
"Y65";"T";"NL13";"A";"2005";18,9;NA;NA
"Y65";"T";"NL13";"A";"2004";18,6;NA;NA
"Y65";"T";"NL13";"A";"2003";18,2;NA;NA
"Y65";"T";"NL13";"A";"2002";17,7;NA;NA
"Y65";"T";"NL13";"A";"2001";18;NA;NA
"Y65";"T";"NL13";"A";"2000";NA;"na";NA
