"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG"
"TOTAL";"T";"NL13";"A";"2005";483369;NA
"TOTAL";"T";"NL13";"A";"2004";482415;NA
"TOTAL";"T";"NL13";"A";"2003";481254;NA
"TOTAL";"T";"NL13";"A";"2002";478799;NA
"TOTAL";"T";"NL13";"A";"2001";474506;NA
"TOTAL";"T";"NL13";"A";"2000";469806;NA
"TOTAL";"T";"NL13";"A";"1999";467093;NA
"TOTAL";"T";"NL13";"A";"1998";464672;NA
"TOTAL";"T";"NL13";"A";"1997";460817;NA
"TOTAL";"T";"NL13";"A";"1996";457316;NA
"TOTAL";"T";"NL13";"A";"1995";454864;NA
"TOTAL";"T";"NL13";"A";"1994";451409;NA
"TOTAL";"T";"NL13";"A";"1993";448256;NA
"TOTAL";"T";"NL13";"A";"1992";445596;NA
"TOTAL";"T";"NL13";"A";"1991";443510;NA
"TOTAL";"T";"NL13";"A";"1990";441028;NA
"TOTAL";"T";"NL34";"A";"2014";380621;NA
"TOTAL";"T";"NL34";"A";"2013";381077;NA
"TOTAL";"T";"NL34";"A";"2012";381407;NA
"TOTAL";"T";"NL34";"A";"2011";381530;NA
"TOTAL";"T";"NL34";"A";"2010";381409;NA
"TOTAL";"T";"NL34";"A";"2009";380984;NA
"TOTAL";"T";"NL34";"A";"2008";380585;NA
"TOTAL";"T";"NL34";"A";"2007";380497;NA
"TOTAL";"T";"NL34";"A";"2006";380186;NA
"TOTAL";"T";"NL34";"A";"2005";379978;NA
"TOTAL";"T";"NL34";"A";"2004";379028;NA
"TOTAL";"T";"NL34";"A";"2003";378348;NA
"TOTAL";"T";"NL34";"A";"2002";377235;NA
"TOTAL";"T";"NL34";"A";"2001";374920;NA
"TOTAL";"T";"NL34";"A";"2000";371866;NA
"TOTAL";"T";"NL34";"A";"1999";370571;NA
"TOTAL";"T";"NL34";"A";"1998";369949;NA
"TOTAL";"T";"NL34";"A";"1997";368426;NA
"TOTAL";"T";"NL34";"A";"1996";367354;NA
"TOTAL";"T";"NL34";"A";"1995";365846;NA
"TOTAL";"T";"NL34";"A";"1994";363867;NA
"TOTAL";"T";"NL34";"A";"1993";361195;NA
"TOTAL";"T";"NL34";"A";"1992";359205;NA
"TOTAL";"T";"NL34";"A";"1991";357454;NA
"TOTAL";"T";"NL34";"A";"1990";355947;NA
"TOTAL";"T";"UKC1";"A";"2014";1182935;"ep"
"TOTAL";"T";"UKC1";"A";"2013";1179483;NA
"TOTAL";"T";"UKC1";"A";"2012";1176946;NA
"TOTAL";"T";"UKC1";"A";"2011";1173646;NA
"TOTAL";"T";"UKC1";"A";"2010";1168781;NA
"TOTAL";"T";"UKC1";"A";"2009";1165178;NA
"TOTAL";"T";"UKC1";"A";"2008";1161826;NA
"TOTAL";"T";"UKC1";"A";"2007";1157100;NA
"TOTAL";"T";"UKC1";"A";"2006";1152783;NA
"TOTAL";"T";"UKC1";"A";"2005";1149222;NA
"TOTAL";"T";"UKC1";"A";"2004";1146883;NA
"TOTAL";"T";"UKC1";"A";"2003";1145885;NA
"TOTAL";"T";"UKC1";"A";"2002";1145691;NA
"TOTAL";"T";"UKC1";"A";"2001";1146454;NA
"TOTAL";"T";"UKC1";"A";"2000";1147177;NA
"TOTAL";"T";"UKC1";"A";"1999";1148500;NA
"TOTAL";"T";"UKC1";"A";"1998";1150300;NA
"TOTAL";"T";"UKC1";"A";"1997";1152200;NA
"TOTAL";"T";"UKC1";"A";"1996";1154600;NA
"TOTAL";"T";"UKC1";"A";"1995";1156600;NA
"TOTAL";"T";"UKC1";"A";"1994";1157600;NA
"TOTAL";"T";"UKC1";"A";"1993";1157800;NA
"TOTAL";"T";"UKC1";"A";"1992";1157900;NA
"TOTAL";"T";"UKC1";"A";"1991";1163422;NA
"TOTAL";"T";"UKC1";"A";"1990";1159687;NA
"TOTAL";"T";"UKE2";"A";"2014";806512;"ep"
"TOTAL";"T";"UKE2";"A";"2013";803912;NA
"TOTAL";"T";"UKE2";"A";"2012";800816;NA
"TOTAL";"T";"UKE2";"A";"2011";796538;NA
"TOTAL";"T";"UKE2";"A";"2010";791442;NA
"TOTAL";"T";"UKE2";"A";"2009";787264;NA
"TOTAL";"T";"UKE2";"A";"2008";783385;NA
"TOTAL";"T";"UKE2";"A";"2007";778641;NA
"TOTAL";"T";"UKE2";"A";"2006";774256;NA
"TOTAL";"T";"UKE2";"A";"2005";769411;NA
"TOTAL";"T";"UKE2";"A";"2004";763325;NA
"TOTAL";"T";"UKE2";"A";"2003";757696;NA
"TOTAL";"T";"UKE2";"A";"2002";753342;NA
"TOTAL";"T";"UKE2";"A";"2001";748051;NA
"TOTAL";"T";"UKE2";"A";"2000";741936;NA
"TOTAL";"T";"UKE2";"A";"1999";736800;NA
"TOTAL";"T";"UKE2";"A";"1998";732400;NA
"TOTAL";"T";"UKE2";"A";"1997";729300;NA
"TOTAL";"T";"UKE2";"A";"1996";726500;NA
"TOTAL";"T";"UKE2";"A";"1995";722600;NA
"TOTAL";"T";"UKE2";"A";"1994";718400;NA
"TOTAL";"T";"UKE2";"A";"1993";717100;NA
"TOTAL";"T";"UKE2";"A";"1992";715900;NA
"TOTAL";"T";"UKE2";"A";"1991";716863;NA
"TOTAL";"T";"UKE2";"A";"1990";713271;NA
