"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS"
"Y_LT1";"T";"ITH2";"A";"2007";82,5;NA
"Y_LT1";"T";"ITH2";"A";"2006";81,9;NA
"Y_LT1";"T";"ITH2";"A";"2005";81,9;NA
"Y_LT1";"T";"ITH2";"A";"2004";81,3;NA
"Y_LT1";"T";"ITH2";"A";"2003";80,8;NA
"Y_LT1";"T";"ITH2";"A";"2002";81,3;NA
"Y_LT1";"T";"ITH2";"A";"2001";81,3;NA
"Y_LT1";"T";"ITH2";"A";"2000";80,5;NA
"Y_LT1";"T";"ITH2";"A";"1999";80,4;NA
"Y_LT1";"T";"ITH2";"A";"1998";79,6;NA
"Y_LT1";"T";"ITH2";"A";"1997";79,7;NA
"Y_LT1";"T";"ITH2";"A";"1996";79,5;NA
"Y_LT1";"T";"ITH2";"A";"1995";78,7;NA
"Y_LT1";"T";"ITH2";"A";"1994";78,5;NA
"Y_LT1";"T";"ITH2";"A";"1993";78,7;NA
"Y_LT1";"T";"ITH2";"A";"1992";77,8;NA
"Y_LT1";"T";"ITH2";"A";"1991";77,4;NA
"Y_LT1";"T";"ITH2";"A";"1990";77,6;NA
"Y_LT1";"T";"ITH3";"A";"2014";83,8;NA
"Y_LT1";"T";"ITH3";"A";"2013";83,4;NA
"Y_LT1";"T";"ITH3";"A";"2012";83;NA
"Y_LT1";"T";"ITH3";"A";"2011";83,1;NA
"Y_LT1";"T";"ITH3";"A";"2010";82,9;NA
"Y_LT1";"T";"ITH3";"A";"2009";82,7;NA
"Y_LT1";"T";"ITH3";"A";"2008";82,3;NA
"Y_LT1";"T";"ITH3";"A";"2007";82,2;NA
"Y_LT1";"T";"ITH3";"A";"2006";82,1;NA
"Y_LT1";"T";"ITH3";"A";"2005";81,6;NA
"Y_LT1";"T";"ITH3";"A";"2004";81,5;NA
"Y_LT1";"T";"ITH3";"A";"2003";80,9;NA
"Y_LT1";"T";"ITH3";"A";"2002";81;NA
"Y_LT1";"T";"ITH3";"A";"2001";81,1;NA
"Y_LT1";"T";"ITH3";"A";"2000";80,5;NA
"Y_LT1";"T";"ITH3";"A";"1999";80;NA
"Y_LT1";"T";"ITH3";"A";"1998";79,7;NA
"Y_LT1";"T";"ITH3";"A";"1997";79,5;NA
"Y_LT1";"T";"ITH3";"A";"1996";79,1;NA
"Y_LT1";"T";"ITH3";"A";"1995";78,7;NA
"Y_LT1";"T";"ITH3";"A";"1994";78,3;NA
"Y_LT1";"T";"ITH3";"A";"1993";78,2;NA
"Y_LT1";"T";"ITH3";"A";"1992";77,9;NA
"Y_LT1";"T";"ITH3";"A";"1991";77,5;NA
"Y_LT1";"T";"ITH3";"A";"1990";77,4;NA
