"WSTATUS";"TYPTRAI";"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"IT";"A";"2007";16,1;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"IT";"A";"2006";16,8;"b";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"IT";"A";"2005";17,1;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"IT";"A";"2004";16,8;"b";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"IT";"A";"2003";16,6;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"IT";"A";"2002";16,8;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"IT";"A";"2001";18,1;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"IT";"A";"2000";19,1;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITC4";"A";"2015";17;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITC4";"A";"2014";16,1;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITC4";"A";"2013";16,5;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITC4";"A";"2012";14,5;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITC4";"A";"2011";13,6;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITC4";"A";"2010";14,4;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITC4";"A";"2009";13,1;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITC4";"A";"2008";11,6;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITC4";"A";"2007";9,6;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITC4";"A";"2006";10;"b";NA
