"INDIC_SB";"NACE_R2";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"V11210";"F";"ITH2";"A";"2010";NA;"na";NA
"V11210";"F";"ITH2";"A";"2009";NA;"na";NA
"V11210";"F";"ITH2";"A";"2008";NA;"na";NA
"V11210";"F";"MT";"A";"2013";3623;NA;NA
"V11210";"F";"MT";"A";"2012";3835;NA;NA
"V11210";"F";"MT";"A";"2011";3924;NA;NA
"V11210";"F";"MT";"A";"2010";4034;NA;NA
"V11210";"F";"MT";"A";"2009";3592;NA;NA
"V11210";"F";"MT";"A";"2008";3139;NA;NA
"V11210";"F";"NL12";"A";"2013";6840;NA;NA
"V11210";"F";"NL12";"A";"2012";5996;NA;NA
"V11210";"F";"NL12";"A";"2011";5784;NA;NA
"V11210";"F";"NL12";"A";"2010";5837;NA;NA
"V11210";"F";"NL12";"A";"2009";5172;NA;NA
"V11210";"F";"NL12";"A";"2008";4673;NA;NA
"V11210";"F";"NL13";"A";"2013";4267;NA;NA
"V11210";"F";"NL13";"A";"2012";3711;NA;NA
"V11210";"F";"NL13";"A";"2011";3558;NA;NA
"V11210";"F";"NL13";"A";"2010";3532;NA;NA
"V11210";"F";"NL13";"A";"2009";3157;NA;NA
"V11210";"F";"NL13";"A";"2008";2869;NA;NA
"V11210";"F";"NL34";"A";"2013";3376;NA;NA
"V11210";"F";"NL34";"A";"2012";2794;NA;NA
"V11210";"F";"NL34";"A";"2011";2632;NA;NA
"V11210";"F";"NL34";"A";"2010";2630;NA;NA
"V11210";"F";"NL34";"A";"2009";2340;NA;NA
"V11210";"F";"NL34";"A";"2008";2118;NA;NA
"V11210";"F";"UKC1";"A";"2013";3442;NA;NA
"V11210";"F";"UKC1";"A";"2012";3344;NA;NA
"V11210";"F";"UKC1";"A";"2011";3343;NA;NA
"V11210";"F";"UKC1";"A";"2010";3329;NA;NA
"V11210";"F";"UKC1";"A";"2009";3497;NA;NA
"V11210";"F";"UKC1";"A";"2008";3720;NA;NA
"V11210";"F";"UKE2";"A";"2013";3741;NA;NA
"V11210";"F";"UKE2";"A";"2012";3807;NA;NA
"V11210";"F";"UKE2";"A";"2011";3952;NA;NA
"V11210";"F";"UKE2";"A";"2010";4027;NA;NA
"V11210";"F";"UKE2";"A";"2009";4229;NA;NA
"V11210";"F";"UKE2";"A";"2008";4497;NA;NA
"V11210";"G";"AT32";"A";"2013";8352;NA;NA
"V11210";"G";"AT32";"A";"2012";8049;NA;NA
"V11210";"G";"AT32";"A";"2011";7978;NA;NA
"V11210";"G";"AT32";"A";"2010";7991;NA;NA
"V11210";"G";"AT32";"A";"2009";7880;NA;NA
"V11210";"G";"AT32";"A";"2008";7974;NA;NA
"V11210";"G";"AT33";"A";"2013";10113;NA;NA
"V11210";"G";"AT33";"A";"2012";9863;NA;NA
"V11210";"G";"AT33";"A";"2011";9672;NA;NA
"V11210";"G";"AT33";"A";"2010";9631;NA;NA
"V11210";"G";"AT33";"A";"2009";9415;NA;NA
"V11210";"G";"AT33";"A";"2008";9620;NA;NA
"V11210";"G";"BE22";"A";"2013";10010;NA;NA
"V11210";"G";"BE22";"A";"2012";11512;NA;NA
"V11210";"G";"BE22";"A";"2011";11712;NA;NA
"V11210";"G";"BE22";"A";"2010";11706;NA;NA
"V11210";"G";"BE22";"A";"2009";10958;NA;NA
"V11210";"G";"BE22";"A";"2008";10776;NA;NA
"V11210";"G";"ES13";"A";"2013";9623;NA;NA
"V11210";"G";"ES13";"A";"2012";9968;NA;NA
"V11210";"G";"ES13";"A";"2011";10133;NA;NA
"V11210";"G";"ES13";"A";"2010";10125;NA;NA
"V11210";"G";"ES13";"A";"2009";10645;NA;NA
"V11210";"G";"ES13";"A";"2008";11054;NA;NA
"V11210";"G";"ITH1";"A";"2013";8384;NA;NA
"V11210";"G";"ITH1";"A";"2012";8517;NA;NA
"V11210";"G";"ITH1";"A";"2011";10417;NA;NA
"V11210";"G";"ITH1";"A";"2010";NA;"na";NA
"V11210";"G";"ITH1";"A";"2009";NA;"na";NA
"V11210";"G";"ITH1";"A";"2008";NA;"na";NA
"V11210";"G";"ITH2";"A";"2013";8278;NA;NA
"V11210";"G";"ITH2";"A";"2012";8332;NA;NA
"V11210";"G";"ITH2";"A";"2011";9891;NA;NA
"V11210";"G";"ITH2";"A";"2010";NA;"na";NA
"V11210";"G";"ITH2";"A";"2009";NA;"na";NA
"V11210";"G";"ITH2";"A";"2008";NA;"na";NA
"V11210";"G";"MT";"A";"2013";8999;NA;NA
"V11210";"G";"MT";"A";"2012";9260;NA;NA
"V11210";"G";"MT";"A";"2011";9587;NA;NA
"V11210";"G";"MT";"A";"2010";9677;NA;NA
"V11210";"G";"MT";"A";"2009";9659;NA;NA
"V11210";"G";"MT";"A";"2008";8957;NA;NA
"V11210";"G";"NL12";"A";"2013";11746;NA;NA
"V11210";"G";"NL12";"A";"2012";9936;NA;NA
"V11210";"G";"NL12";"A";"2011";9573;NA;NA
"V11210";"G";"NL12";"A";"2010";9536;NA;NA
